"bundesland","kategorie","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Baden-Württemberg","Kälber bis einschließlich 8 Monate",137293,153992,144921,137411,156765,166787,172552,174413,185786,192368,197457,213903,199119,194977,203093,212330,214533,218779,224653,227471,219248,215504,211903,315808,305282,296344,293508,297053,293952,291503,291979,288272,288992,291245,297063,270846,271256,255555,245868,239444,236492,215742,209085,206973,209979,207009,203590,193900,178700,190126,179700,184597,173700,169966,152900,155200,153100,153079,159120,204220,199259,197336,195375,197030,198698,189428,189819,182329,183422,183182,179063
"Baden-Württemberg","Jungrinder über 8 Monate bis 1 Jahr, männlich",48532,59291,68493,61214,63360,73211,84845,88431,92963,110335,122731,147871,150058,135875,140809,156527,163619,162011,173589,186353,188585,184358,190196,162747,164076,167793,170192,171257,175317,170242,168982,165146,161355,160851,166925,157077,153286,142620,134962,124116,127194,119395,107586,100805,100021,88235,89414,83400,83300,83996,71800,78275,74200,71085,63300,61000,62600,62924,56584,37052,36375,35125,35549,35552,35204,33704,33854,31844,31292,33075,31018
"Baden-Württemberg","Jungrinder über 8 Monate bis 1 Jahr, weiblich",192671,201943,215128,206245,204390,211118,220297,217860,217692,222924,219782,216622,213737,201837,203372,211606,218829,217681,217925,213518,205449,194098,199481,169156,168644,170496,173762,173713,176690,176076,176760,179461,174034,182607,178970,168928,172188,166735,160902,159543,159063,151758,148500,142829,147389,144936,146936,140900,134200,133392,125400,123742,113600,108654,101700,104200,100000,99538,89686,60592,60021,59225,59600,59620,61162,61024,61936,58817,58377,58356,56678
"Baden-Württemberg","Rinder 1 bis unter 2 Jahre, männlich",42229,46652,50875,54853,47521,55046,62525,70609,68130,76080,91255,109398,116414,117261,105587,130544,151484,150929,150594,171666,185098,180799,186898,183983,179684,181744,182198,190065,200666,198974,193257,186065,185203,176926,186288,194155,180542,180295,170232,162861,149986,139856,128656,122647,118258,118419,106668,98200,93500,95903,88800,90207,89300,82562,80300,71800,72500,72056,76374,76931,72439,69919,67749,70372,69721,68739,65157,66941,63409,63981,66331
"Baden-Württemberg","Rinder 1 bis u. 2 Jahre, weiblich, zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57414,60691,53054,51880,50747,52839,53123,52262,47798,48705,45954,50440,51041,52210,58111,50445,48734,50473,51923,44324,39666,35166,38368,37065,36000,35900,34332,30500,36248,31000,29143,24200,27300,25600,6620,13483,13598,16515,17568,17749,17503,17774,18429,18889,19867,19943,21898,20198
"Baden-Württemberg","Rinder 1 b.u.2 J., weiblich, Nutz- u.Zuchttiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127266,127079,135267,137536,144964,147331,151135,149709,156679,158296,160245,162663,159738,159125,156247,157857,161032,154097,149968,150061,150377,155440,160782,159393,159500,158000,138684,149900,131910,138600,133792,135500,131800,130500,144139,150574,154275,149757,145827,145502,147569,150178,150847,146853,146097,140577,138411,138875
"Baden-Württemberg","Rinder 2 Jahre und älter, Bullen und Ochsen",69528,61623,57800,54558,48229,43238,41501,39695,33779,32030,31879,32701,31140,29090,24892,25602,30756,25619,23915,23371,24186,22495,21314,27558,25897,22296,21260,22051,22245,23826,22702,21716,21010,21528,20033,19404,19778,20337,17439,17065,16179,14549,12780,13093,13455,14161,13480,12200,11900,10952,19800,10596,10700,8467,8500,8800,7300,6849,8694,8943,9183,8000,6967,7514,7427,7337,8111,8199,7887,7686,8010
"Baden-Württemberg","Rinder 2 Jahre und älter, Färsen zum Schlachten",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4891,5118,4387,4314,4313,4998,5268,4759,4450,4721,5067,4846,NA,5246,6584,5535,5989,6061,5628,4127,4040,3815,4734,4266,4500,5000,4709,4500,4753,3900,3689,3200,3600,3300,744,2374,2459,3447,3409,3134,3099,3331,3403,3498,3796,3946,3948,3529
"Baden-Württemberg","Rinder 2 J.u.älter, Färsen als Zucht- u. Nutztiere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68379,72803,75159,74304,78756,78125,81904,80449,78521,81549,83029,68440,71393,69424,67347,70286,71462,70202,66234,64168,63752,65815,67124,69819,68000,70200,62486,64300,60754,62000,64972,61200,59400,56000,61650,63243,64173,63976,60637,58933,60016,60979,60781,59116,58815,56684,53936,52637
"Baden-Württemberg","Rinder 2 Jahre und älter, Milchkühe",875416,885488,873640,874899,872093,862456,862716,859766,864170,873190,875024,878977,866711,849130,832612,827992,828046,830911,820692,798866,746739,718123,715263,707397,699607,697949,694100,695735,695011,691992,688148,678026,683422,694302,677208,641441,656969,625556,612129,599833,573744,542952,518057,509422,503341,498463,490321,465700,447400,443141,429100,418225,410000,398290,385400,385300,375800,362212,364958,358136,353099,347355,340416,342635,349144,NA,343720,341494,334117,327931,325288
"Baden-Württemberg","Rinder 2 Jahre und älter, Ammen- und Mutterkühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2465,2293,7642,7895,7193,7998,7339,8661,9136,9769,11224,10369,10813,11618,NA,14282,12915,13970,17099,21222,23494,35097,40353,45662,46340,51327,57200,54500,62799,61900,65323,58400,63219,59000,58400,57500,59249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baden-Württemberg","Rinder 2 Jahre und älter, Schlacht- und Mastkühe",6414,6253,8343,8093,7941,8170,9207,10469,8153,8707,7938,7503,8453,8006,7832,8959,9433,11729,12308,13988,13149,10596,10291,16039,15064,15756,12758,14043,16362,16960,16748,15946,15143,17066,16152,14078,16612,15865,16981,17824,19249,15955,12756,12814,12264,11823,9698,7700,11200,8790,8300,7036,5800,4471,4500,3600,3400,1066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baden-Württemberg","Rinder 2 Jahre und älter, andere Kühe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63082,64228,63398,64387,64865,66185,62163,NA,60820,58427,56919,56753,56861
"Bayern","Kälber bis einschließlich 8 Monate",337177,371339,410847,405301,444642,483482,505830,486200,527307,564142,563022,605877,573022,567989,592552,621951,616889,588527,523690,498784,479785,470631,477447,710184,720558,716530,697213,757471,770848,764892,769232,763698,771560,809725,816433,817562,784357,776698,729022,706956,701852,660328,634523,637014,632977,614904,623497,596000,564300,619647,611200,637770,582500,565074,555600,549000,528600,524418,518977,672628,662797,649895,651698,647689,646705,629287,631659,613808,605389,601192,575937
